Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Powell, Kelley Smith",,Henry County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Powers, Darrell Bruce",Friends of Darrell for Sheriff,Wilkes County,Sheriff,,2024,Republican,No,,,
"Pozatek, Lillie Ramos",,Fulton,Board of Education,2,2022,Other,No,,,
"Pozniak, Catherine R",Committee to Elect Catherine Pozniak LLC,Cobb,Board of Education,4,2022,Democrat,No,,,
"Pretorius, Andre ",Committee to elect Andre for DA,State,District Attorney,Eastern,2024,Republican,Yes,6921.2,3742.85,
"Price, Jody Wade",,Bryan County,County Commissioner,2,2022,Republican,No,,,
"Price, Nancy Erin",,Lowndes,Board of Education,3,2022,Non-Partisan,No,,,
"Price, Rachael",Price for Tift County Commission,Tift County,County Commissioner,6,2022,Democrat,No,,,
"Price, Shannon",,Paulding,Board of Education,4,2024,Other,No,,,
"Pridemore, Tricia","Georgians for Pridemore, Inc.",State,Public Service Commissioner,5,2024,Republican,Yes,426352.38,67736.92,
"Priest, Mary Elizabeth",Committee to Elect Mary Beth Priest,State,Superior Court Judge,Appalachain,2022,Non-Partisan,No,474.8,,
"Priest-Brown, Donna Gaye",Campaign to Elect Donna Priest-Brown,DeKalb,Board of Education,5,2024,Democrat,No,,,
"Primm, Nicholas Andrew",The Committee to Keep Judge Primm,State,Superior Court Judge,Piedmont Judicial Circuit: Primm,2024,Non-Partisan,No,4739.37,124,
"Prince, Brian Lamar",Friends Of Brian Prince,State,State Representative,132,2024,Democrat,No,185889.47,117615.37,
"Prince, Karen",,Henry County,County Commissioner,2,2024,Democrat,No,,,
"Pritchett, Linda",The Committee to Elect Linda Pritchett,State,State Senator,39,2022,Democrat,No,5849.23,5849.23,
"Procter, Zachary Walter",,State,State Representative,101,2022,Republican,No,50461.07,50486.1,
"Proctor, James K",Committee to Elect Jim Proctor Sheriff,Camden County,Sheriff,,2024,Other,Yes,,,
"Prouty, Jill",Friends of Jill Prouty,State,State Representative,71,2022,Democrat,No,6656.05,6656.05,
"Pruett, Jimmy , Jr.",Pruett for House,State,State Representative,149,2022,Republican,Yes,,,
"Pruitt, Robert ",Friends of Pruitt,State,State Representative,149,2022,Republican,Yes,131500,77015.532,
"Pullen, Quentin DeJon",Q 4 The People,Fayette County,County Commissioner,5,2024,Democrat,Yes,,,
"Pulliam, Stacy Ann",Stacy Pulliam For Augusta,Augusta-Richmond (Cons. Gov.),City Commissioner,2,2022,Non-Partisan,No,,,
"Purcell, Dylan",Dylan Purcell for Georgia House,State,State Representative,32,2022,Republican,No,33082.44,33082.44,
"Racine, Elizabeth Dalia",Committee to Elect E. D. Racine,State,District Attorney,Douglas,2024,Democrat,No,46764.78,10014.19,
"Raeford, Maurice",,State,State Representative,84,2022,Democrat,No,7739.72,6584.79,
"Raffensperger, Bradford Jay","Brad for Georgia SOS, Inc.",,Secretary of State,,2022,Republican,No,4915960.57,3110624.01,
"Ragsdale, Corey Allen",,Cherokee County,County Commissioner,4,2022,Republican,No,,,
"Ragsdale, Erin",,Cherokee,Board of Education,5,2022,Republican,No,,,
"Ragsdale, George T",Ragsdale4Glynn,Glynn County,County Commissioner,,2024,Republican,No,,,
"Rahman, Sheikh Muzahidur",,State,State Senator,5,2024,Democrat,No,150254.65,32570.75,
"Rainer, David L",,State,State Representative,180,2024,Republican,No,19170.68,17316.9,
"Ralston, David ","Ralston for Representative Committee, Inc.",State,State Representative,7,2022,Republican,Yes,1931747.82,1909308.8,
"Ramaswami, Ashwin ",Ashwin for Georgia,State,State Senator,48,2024,Democrat,Yes,293594.86,74290.02,
"Rambo, Charles Darryl",Charles Rambo for Fulton Sheriff,Fulton County,Sheriff,,2024,Other,Yes,,,
"Rampey, Daniel ","Friends of Danny Rampey, Inc.",State,State Representative,119,2024,Republican,Yes,145971.28,115630.05,
"Ranel, Leroy , Jr.",,Gwinnett,Board of Education,1,2024,Non-Partisan,No,,,
"Ranel, Leroy, Jr.",,Gwinnett,Board of Education,1,2024,Non-Partisan,No,,,
"Ransom, Michael",,Oconee,Board of Education,5,2024,Other,No,,,
"Rasnick, John Daryl",,Meriwether County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Raudabaugh, David Barton",,,Commissioner of Agriculture,,2022,Other,No,5213.01,3773.21,
"Ravenscraft, Charles Lance",Ravenscraft for Georgia,State,State Representative,22,2022,Democrat,No,4991.59,,
"Rawls, Christopher Brian",Committee to Elect Chris Rawls,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Graham,2024,Non-Partisan,No,,,
"Rawls, Paula T.",,Pulaski,Board of Education,0,2024,Other,No,,,
"Ray, Marcus Damien",Committee to Elect Marcus Ray,State,State Representative,116,2022,Republican,No,668.18,668.18,
"Rayford, Beverly J",,Baldwin,Board of Education,3,2024,Other,No,,,
"Read, Janet S",Janet Read for Cherokee Schools,Cherokee,School Board Chair,at-Large,2024,Republican,No,,,
"Read, Richard Randolph",Committee to Elect Richard Read Associate State Court Judge - Rockdale County,Rockdale County,State Court Judge,0,2022,Non-Partisan,No,,,
"Readdick, Trevor Wayne","Committee To Elect Trevor Readdick, Inc.",Camden County,Sheriff,,2024,Republican,Yes,,,
"Reardon, Pamela Fay",Pamela4 Cobb,Cobb County,County Commissioner,2,2024,Republican,No,,,
"Reardon, Pamela Fay",Pamela4Cobb,Cobb County,County Commissioner,2,2024,Republican,No,,,
"Reaves, Alaina ",Committee to Elect Alaina Reaves for Clayton County Commissioner,Clayton County,County Commissioner,1,2024,Democrat,No,,,
"Rechsteiner, Robert L",Committee to Elect Rick Steiner,Cherokee,Board of Education,4,2022,Republican,No,,,
"Redding, Marites Reyes",TessReddingforGA.com,State,State Representative,37,2022,Republican,Yes,5657.14,8099.45,
"Redding, Victoria",,Newton,Board of Education,3,2022,Democrat,No,,,
"REDDY, NARENDER G",Reddy for House,State,State Representative,50,2024,Republican,Yes,368204,315777.65,
"Reece, Betty Calvin",Elect Betty Reece Commissioner District #4,Augusta-Richmond (Cons. Gov.),County Commissioner,4,2022,Democrat,No,,,
"Reed, Debra Diane",,State,State Representative,112,2022,Democrat,No,,,
"Reese, Clyde Lowaine",Clyde Reese for Court of Appeals,,Court of Appeals Judge,,2024,Other,Yes,2915,,
"Reese, Tremaine Teddy",Teddy Reese for Georgia,State,State Representative,140,2022,Democrat,No,141104.86,90374.41,
"Reeves, Albert Thomas, Jr.",Friends of Bert Reeves,State,State Representative,34,2022,Republican,No,97162.86,75435.21,
"Reeves, Brandi Suzanne",The Committee to Elect Brandi Reeves,State,Superior Court Judge,Atlanta Judicial Circuit: Krause,2024,Non-Partisan,No,87753.46,17131.84,
"Reeves, Robert Matthew","Matt Reeves for State House, Inc.",State,State Representative,99,2024,Republican,Yes,521565.44,381840.9,
"Reeves, Robert S",Friends to Elect Bobby Reeves,State,Superior Court Judge,Middle: Walter McMillian,2022,Non-Partisan,Yes,14087.95,11863.7,
"Reid, Derrick Arlo",Derrick Reid For Sheriff,Morgan County,Sheriff,,2024,Democrat,No,,,
"Reid, Diane",,Gwinnett County,Sheriff,,2024,Non-Partisan,No,,,
"Reinert, Patrick Joseph",Vote 4 Patrick GA,State,State Representative,104,2022,Democrat,No,,,
"Reinhardt, Bill",,State,Superior Court Judge,Tifton Judicial Circuit: Reinhardt,2022,Non-Partisan,No,,,
"Reinhold, Baron ",,Gwinnett County,Sheriff,,2024,Republican,Yes,,,
"Rekuc, Walter S, Jr.",,Fulton County,Soil and Water Conservation District Supervisor,,2022,Non-Partisan,No,,,
"Rekuc, Walter Stephen, Jr.",,Fulton County,Soil and Water Conservation District Supervisor,,2022,Non-Partisan,No,,,
"Rewis, Theresa R",,State,State Representative,169,2024,Democrat,No,,,
"Reynolds, Vic",Friends of Vic Reynolds Inc,State,Superior Court Judge,Cobb Judicial Circuit: Kell,2024,Non-Partisan,Yes,118175,14195.11,
"Rhett, Michael Doc",Campaign to Elect Michael " Doc" Rhett,State,State Senator,33,2024,Democrat,Yes,116400,16389,
"Rhodes, Ralph Lanier, III",Committee To Elect Trey Rhodes,State,State Representative,124,2024,Republican,No,348951.85,206485.12,
"Rhodes, Steven Lamar",Committee to Elect Steven Rhodes,Newton County,County Commissioner,2,2022,Democrat,Yes,,,
"Rice, Carmen ",Carmen Rice for State House,State,State Representative,139,2024,Republican,Yes,23519.56,16319.39,
"Rich, Bonnie M.",Elect Bonnie Rich,State,State Representative,97,2022,Republican,Yes,265229.13,267229.13,
"Richards, Jeffrey Scott, Sr.",,State,State Representative,16,2022,Republican,No,47525,47525,
"Richards, Jennifer Clare",,State,State Senator,54,2024,Republican,No,,,
"Richardson, Ben",,State,Superior Court Judge,Chattahoochee Judicial Circuit: Richardson,2024,Non-Partisan,No,11350,8940.84,
"Richardson, Emily Kathleen","Friends of Judge Richardson, Inc.",State,Superior Court Judge,Atlanta Judicial Circuit: Richardson,2024,Non-Partisan,Yes,22771.84,8627.65,
"Richardson, Gary Lee",Gary Richardson for District 125,State,State Representative,125,2024,Republican,Yes,128521.34,96551.55,
"Richardson, Gewel Armani",,Henry,Board of Education,5,2024,Non-Partisan,No,,,
"Richardson, Jerica",,Cobb County,County Commissioner,2,2024,Other,No,,,
"Richardson, Keith C.",,Pulaski,Board of Education,0,2022,Other,No,,,
"Richardson, Michael Gary",Gary Richardson for Sheriff,Liberty County,Sheriff,,2024,Democrat,No,,,
"Richardson-Olguin, Clara",Friends to Elect Clara,State,State Senator,7,2024,Republican,Yes,9782.4,109.1,
"Rickett, Justin L.",Committee To Elect Justin Rickett,State,State Representative,137,2022,Republican,Yes,402,1889.66,
"Rickman, Christopher Douglas",,Stephens County,County Commissioner,4,2022,Republican,No,,,
"Ridley, Jason Thomas",,State,State Representative,6,2024,Republican,Yes,203114.72,174691.48,
"Ridley, Jordan Christopher",Friends of Jordan Ridley,State,State Representative,22,2024,Republican,No,132635.3,83256.11,
"Ridley, Marcia ",,State,State Representative,89,2022,Democrat,No,,,
"Riesen, Michael J",Riesen For Georgia,State,State Representative,136,2024,Republican,Yes,40983.33,31869.86,
"Rigby, Bradford Lee",Committee to Elect Brad Rigby District Attorney,State,District Attorney,Cordele,2022,Republican,No,19732.73,,
"Riggens, Danny Russell",Committee to Elect Danny Riggins,St. Marys,City Councilperson,3,2022,Non-Partisan,No,,,
"RILEY, TIMOTHY SHAWN",FRIENDS OF TIM RILEY,Houston County,County Commissioner,2,2022,Democrat,No,,,
"Rinaudo, Kyle ",Kyle C. Rinaudo 21st Century Leadership Committee,State,State Representative,35,2022,Democrat,Yes,15332.03,1180.27,
"Ring, Noah Dalton Eugene",,State,State Representative,174,2022,Republican,No,,,
"RINK, DOUGLAS Andrew",Doug Rink for Gilmer,Gilmer County,County Commissioner,1,2024,Republican,No,,,
"Rivers, Larry Gator",,Chatham County,County Commissioner,2,2024,Non-Partisan,No,,,
"Roberson, Genia ",,Cherokee County,County Commission Chair,,2022,Republican,No,,,
"Roberson, Lonnie Dave",Citizens for Roberson,Floyd County,Sheriff,,2024,Republican,No,,,
"ROBERTS, DANIELLE PATRICE",COMMITTEE TO KEEP JUDGE DANIELLE ROBERTS,State,Superior Court Judge,Flint Judicial Circuit: Roberts,2024,Non-Partisan,No,23348.82,10755.65,
"Roberts, Donald Lewis",,Wilkinson County,County Commissioner,4,2022,Republican,No,,,
"Roberts, Shea Evans","Shea Roberts for Georgia, Inc.",State,State Representative,52,2022,Democrat,Yes,187011.59,198659.92,
"Roberts, William Ernest",,State,State Representative,169,2024,Republican,No,3800,2462.42,
"Robertson, Wiley Randall",Committee to Elect Robertson for Georgia,State,State Senator,29,2024,Republican,Yes,308633.67,112373.95,
"Robichaux, Mary G.",Elect Mary Robichaux,State,State Representative,48,2022,Democrat,Yes,158870.83,158820.1,
"Robinson, Dionne D",,Clayton County,Tax Commissioner,,2024,Non-Partisan,No,,,
"Robinson, Duvwon",,Fulton County,Tax Commissioner,,2024,Democrat,Yes,,,
"Robinson, Gail C",,Houston County,County Commissioner,3,2024,Republican,No,,,
"Robinson, Janice Laws",Committee to Elect Janice for Georgia,,Commissioner of Insurance,,2022,Democrat,Yes,128645.84,135003.4,
"Robinson, Tyrique",,Richmond,Board of Education,1,2022,Other,No,,,
"Robinson-Metze,Ph.D., Marie ",Committee to elect Marie Metze,State,State Representative,55,2022,Democrat,No,3030,,
"Rockwell, Jermaine",,Ashburn,City Councilperson,0,2022,Other,No,,,
"Rodgers, Valerie ",Rodgers for Senate 25,State,State Senator,25,2022,Democrat,No,4379.14,9064.28,
"Rodi, James Allen","The Committee to Elect James A. Rodi, Inc.",State,State Representative,41,2022,Republican,No,4387,3070.76,
"Rogers, De%u2019Ron D",Rogers4House,State,State Representative,145,2024,Republican,Yes,24088.78,15311.47,
"Rogers, Gabrielle Nicole","Gabrielle Rogers 4 DeKalb 4, Inc.",DeKalb County,County Commissioner,4,2024,Democrat,Yes,,,
"Rogers, Gabrielle Nicole",Committee to Elect Gabrielle Rogers,State,State Representative,88,2022,Democrat,No,44754.88,31501.56,
"Rogers, LaTonya Martin",The Campaign to Elect LaTonya Martin Rogers,Fulton,Board of Education,6,2022,Non-Partisan,No,,,
"Rogers, Terry A",Vote Terry Rogers LLC,State,State Representative,10,2022,Republican,No,,,
"Rollins, Matthew ",Rollins for District Attorney,State,District Attorney,Paulding,2022,Republican,Yes,17900,13996.7,
"Romman, Ruwa ",Committee to Elect Ruwa Romman,State,State Representative,97,2024,Democrat,No,305913.17,258903,
"Roper, Andrew Blake",Andrew Roper for Superior Court Judge,State,Superior Court Judge,Tallapoosa Judicial Circuit: Lim,2024,Non-Partisan,No,46817.59,36037.98,
"Rose, Charles Paul, Jr.",,State,Superior Court Judge,Atlantic Judicial Circuit: Rose,2024,Non-Partisan,No,,,
"Ross, Xe",Xe Ross for Senate,State,State Senator,34,2024,Democrat,No,,,
"Rowe, Audie",,Cook County,County Commissioner,4,2024,Other,No,,,
"Rowell, Bruce Edward",,Screven County,Sheriff,,2024,Republican,Yes,,,
"Royal, Kenneth Chung",Friends 4 Kenneth Chung Royal,DeKalb County,County Commissioner,7,2024,Democrat,No,,,
"Rucker, Demetrius","Rucker for Georgia, Inc.",State,State Representative,117,2022,Democrat,Yes,19523.22,2083.27,
"Rudnick, Michael James",Michael Rudnick for School Board,Gwinnett,Board of Education,2,2022,Non-Partisan,No,,,
"Rumer, William Crawford",,State,Superior Court Judge,Chattahoochee Judicial Circuit: Martin,2022,Non-Partisan,No,1216.09,1216.09,
"Russell, Robert L.",,State,Superior Court Judge,Atlantic,2024,Unspecified,No,,,
"Russell, Sonya ",Friends of Sonya,Fulton County,County Commission Chair,,2022,Democrat,No,,,
"Russell-Ofchus, Sonya",,Fulton County,County Commission Chair,,2022,Other,No,,,
"Sabbs, Darrell D, Jr.",,Sumter County,Coroner,,2024,Democrat,No,,,
"Sagastizado, Monica Stephanie",,Mansfield,City Councilperson,3,2024,Non-Partisan,Yes,,,
"Sagoo, Rajpal ",Sagoo For State,State,State Representative,21,2022,Republican,No,8423.81,372.05,
"Sainz, Steban Steven",Committee to Elect Steven Sainz,State,State Representative,180,2022,Republican,Yes,366969.88,208165.34,
"Sales, Andre R",,Fulton County,County Commissioner,5,2022,Democrat,No,,,
"Salvia, Victoria Anne",,State,Public Service Commissioner,3,2024,Other,No,,,
"Samad, Dawn Christina",Dr. Dawn for Georgia,State,State Representative,56,2024,Democrat,No,76043,63747.66,
"Sampson, David ",,State,State Representative,153,2024,Democrat,No,40212.81,28041.66,
"Sams, William Fletcher",,State,Superior Court Judge,Griffin Judicial Circuit: Sams,2024,Non-Partisan,No,,,
"Sanchez, Gabriel ",Committee to Elect Gabriel Sanchez,State,State Representative,42,2024,Democrat,Yes,58933.6,38194.75,
"Sanders, Barry",Committee to Elect Barry Sanders,State,State Representative,30,2022,Republican,No,52500,16233.71,
"Sanders, Richard",Committee to Elect Richard Sanders,Chatham County,Judge of Recorder%u2019s Court,,2022,Non-Partisan,No,,,
"Sanders, Richard",,Chatham County,Judge of Recorder%u2019s Court,,2022,Non-Partisan,No,,,
"Sandman, William",,State,State Senator,7,2022,Republican,No,2350,5000,
"Sansot, Ian Louis",,State,District Attorney,Waycross,2022,Republican,No,14506.02,16620.77,
"Santos, Mary Ann",FRIENDS OF MARY ANN INC,State,State Representative,117,2024,Democrat,No,2690,128.19,
"Sapp, Gregory ",,Chatham County,State Court Judge,0,2024,Other,No,,,
"Sarden, Judy",Committee to Elect Judy Sarden,Cobb County,County Commissioner,3,2022,Republican,No,,,
"Saunders, Lynne E",Elect Lynne Saunders,State,State Representative,20,2022,Republican,Yes,37795.65,34795.65,
"Saunders, Willie Mendel",Committee to Elect Willie Saunders for Judge,State,Superior Court Judge,Augusta Judicial Circuit: Craig,2024,Non-Partisan,No,36555.06,25231.73,
"Saxena, Rajeev",,Laurens County,Tax Commissioner,,2024,Republican,No,,,
"Sayler, Rebecca",Committee to Elect Becky Sayler Incorporated,Cobb,Board of Education,2,2022,Democrat,No,,,
"Scandrett, Reginald ",,Henry County,Sheriff,,2024,Other,Yes,,,
"Scarlett, Stephen G, Sr.","Committee to Elect Stephen Scarlett, Sr",State,Superior Court Judge,Brunswick Judicial Circuit: Scarlett,2024,Non-Partisan,No,16589.48,4198.71,
"Schad, Douglas Arthur, Jr.",,Walton County,Sheriff,,2024,Republican,Yes,,,
"Schneider, Dean",,Paulding County,County Commissioner,4,2024,Other,No,,,
"Schofield, Kim Joy",,State,State Representative,63,2022,Democrat,Yes,64505.78,27955.41,
"Schrader, Megan Elizabeth",Schrader District 3 School Board,Catoosa,Board of Education,3,2024,Non-Partisan,No,,,
"Schreiner, Michelle Verges",Michelle for Georgia,State,State Representative,90,2022,Democrat,Yes,38483.22,87083.29,
"Scoggins, Mitchell ",Mitchell Scoggins,State,State Representative,14,2022,Republican,Yes,87449.19,29482.88,
"Scott, Conolus , Jr.",,State,State Senator,47,2024,Democrat,Yes,21232.93,18740.34,
"Scott, Janice",Campaign To Elect Janice Scott,Clayton County,County Commissioner,4,2022,Democrat,Yes,,,
"Scott, Jewel C",Committee to Elect Jewel Scott,State,Superior Court Judge,Clayton Judicial Circuit: Scott,2024,Non-Partisan,Yes,19606.12,9018.81,
"Scott, Orlando Percell",,State,State Senator,2,2022,Democrat,No,2600,4684.31,
"Scott, Renoalda Latis",,Macon-Bibb (Cons. Gov.),City Commissioner,9,2024,Non-Partisan,No,,,
"Scott, Sandra Givens",Committee to Re-Elect Sandra G Scott,State,State Representative,76,2022,Democrat,No,27091,13640,
"Scott, Tameka S.V.",Tameka Scott,Douglas,Board of Education,1,2024,Democrat,No,,,
"Seabaugh, Devan Lee",Seabaugh for State House,State,State Representative,34,2022,Republican,No,273135.36,152978.76,
"Searcy, Alisha Thomas",Searcy for State Superintendent,,State School Superintendent,,2022,Democrat,Yes,223234.43,221842.15,
"Sears, Matthew Anthony",,Cobb,Board of Education,2,2022,Republican,No,,,
"Seaver, Jeanne M",Seaver for LT. Governor Inc.,,Lieutenant Governor,,2022,Republican,Yes,51388.68,51707.68,
"SEAY, VALENCIA",,State,State Senator,34,2022,Democrat,No,85341.76,36014.72,
"Semanson, Laura",,Forsyth County,County Commissioner,5,2024,Other,No,,,
"Setzler, Leonard Edward",Ed Setzler State Senate Committee,State,State Senator,37,2022,Republican,Yes,187305.47,159000.1,
"Setzler, Leonard Edwin",Citizens to Elect Ed Setzler,State,State Representative,35,2022,Republican,Yes,13306.41,12931.41,
"SEWELL, NICOLE (NIKI)",COMMITTEE TO ELECT NIKI SEWELL,Coweta County,Clerk of Superior Court,,2024,Republican,Yes,,,
"Shafer, David J.","David Shafer for Georgia, Inc.",,Lieutenant Governor,,2022,Republican,Yes,,,
"Shannon, Renitta",Elect Renitta Shannon,,Lieutenant Governor,,2022,Democrat,Yes,140842.05,140842.05,
"Sharper, Dexter Lenorris",,State,State Representative,177,2022,Democrat,No,20758.03,11929.12,
"Shaw, Yvonne Renee",,Douglas County,County Commissioner,4,2022,Democrat,Yes,,,
"Shbeib, Mulham",,Roswell,City Councilperson,at-Large,2022,Non-Partisan,No,,,
"Shealy, Bradfield Morris",,State,District Attorney,Southern,2024,Republican,No,3904.19,3904.19,
"Sheffield, Monique",,Cobb County,County Commissioner,4,2024,Other,No,,,
"Sheppard, Richard Dwight",,State,State Representative,89,2022,Republican,No,7006.34,7006.34,
"Shigley, Debra","Friends of Debra Shigley, Inc.",State,State Representative,47,2024,Democrat,No,130178.65,31834.94,
"Shirah, Alexander Harrison",,Liberty County,County Commissioner,2,2022,Republican,No,,,
"Short, William Timmy",Tim Short for State House,State,State Representative,28,2022,Republican,No,24473.57,61178.54,
"Siamomua, Amelia K",,State,State Senator,40,2024,Republican,No,1296.06,841.99,
"Silcox, Deborah Donaldson",,State,State Representative,53,2024,Republican,Yes,433313.22,277461.85,
"Simmons, Adrienne",Committee to Elect Adrienne Simmons,Gwinnett,Board of Education,4,2022,Non-Partisan,No,,,
"Simmons, Brenda Sijuan",People to the Committee to elect Dr. Brenda S Simmons,Tift County,County Commissioner,2,2024,Democrat,Yes,,,
"Simmons, Tara D.",,Stephens County,County Commissioner,1,2022,Republican,No,,,
"Simons, Richard Slaton",Slate for Sheriff,Houston County,Sheriff,,2024,Republican,Yes,,,
"Simpson, John ",Citizens for Simpson,State,Superior Court Judge,Coweta Judicial Circuit: Simpson,2024,Non-Partisan,No,6391.08,4073.71,
"Simpson, Nicholas ",Nick Simpson for Cobb,Cobb County,Clerk of Superior Court,,2024,Democrat,No,,,
"Sims, Freddie Powell",,State,State Senator,12,2024,Democrat,No,99434.8,40393,
"Sims, Robert Stephen",,Effingham County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Singleton, Philip Jerald",Philip Singleton for House,State,State Representative,71,2022,Republican,Yes,53042.38,43874.43,
"Sizemore, W. James",Committee to Elect Judge Sizemore,State,Superior Court Judge,"Southwestern: W. James Sizemore, Jr.",2022,Non-Partisan,Yes,556.06,556.06,
"Sleczkowski, Charlotte",,State,State Representative,8,2024,Democrat,No,2702,150,
"Slendak, Christine H",Tina Slendak for Augusta,Augusta-Richmond (Cons. Gov.),County Commissioner,7,2024,Non-Partisan,No,,,
"Smith, Andrea Bonita",,State,State Representative,41,2024,Republican,No,280,280,
Smith Arthur Lee "Art",Friends to Elect Art Smith,State,Superior Court Judge,Chattahoochee Judicial Circuit: Smith,2024,Unspecified,Yes,75764.89,30464.11,
"SMITH, Asa R","Asa, One of The People",State,State Senator,36,2022,Democrat,No,,,
"Smith, Bradley",,State,State Representative,106,2022,Other,No,,,
"Smith, Bradley Carlton",,State,State Representative,4,2024,Other,Yes,230,,
"Smith, Bradley Carlton",,State,State Representative,106,2022,Other,Yes,235,35,
"Smith, Christian Wise",Committee to Elect Christian Wise Smith,,Attorney General,,2022,Democrat,Yes,98705.8,96990.04,
"Smith, Cody",,State,State Representative,180,2022,Republican,No,6426.5,4650.03,
"Smith, Danielle H",Committee to Elect Danielle H. Smith,Clayton County,Tax Commissioner,,2024,Democrat,No,,,
"Smith, Danny",,Butts,Board of Education,5,2022,Non-Partisan,No,,,
"Smith, Donald Scott",Committe to Elect D. Scott Smith,State,Superior Court Judge,Cherokee: Donald Scott Smith,2022,Other,Yes,6841.08,5388.61,
Smith Evelyn R. "Lynn","Friends of Lynn R. Smith, Inc",State,State Representative,70,2024,Republican,Yes,203322.45,265918.6,
"Smith, Jaeson Robert",Jaeson Smith for District Attorney,State,District Attorney,Tallapoosa,2024,Republican,No,4224.42,4008.61,
"Smith, Jaletta Long",Committee to Elect Jaletta Long Smith,Gwinnett County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Smith, Kayla Caudell",,Stephens,Board of Education,2,2022,Republican,No,,,
"Smith, Madeline Ryan",Madeline Smith for Georgia,State,State Representative,158,2024,Democrat,No,18611.79,13787.81,
"Smith, Megan",,Coweta,Board of Education,3,2022,Non-Partisan,Yes,,,
"Smith, Melvin Wilton, Jr.",,Crawford County,County Commissioner,4,2024,Republican,No,,,
"Smith, Micah ",,State,State Representative,168,2022,Democrat,No,1100.49,1100.49,
"Smith, Michael Andre",Committee to Elect Michael Smith,State,State Representative,41,2022,Unspecified,Yes,23641.82,10099.4,
"Smith, Philip C.",,State,Superior Court Judge,Bell-Forsyth Judicial Circuit: Smith,2022,Unspecified,Yes,55280.49,53863.7,
"Smith, Richard Herbert",Comm. To Elect Richard H. Smith,State,State Representative,134,2024,Republican,Yes,296764.09,324361.697,
"Smith, Richard Rucker",Committee to Keep Judge Rucker Smith,State,Superior Court Judge,Southwestern,2024,Non-Partisan,No,,,
"Smith, Robert Harrison, III",,Long County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Smith, Robert Ross",,State,State Senator,30,2024,Republican,No,85686,52889.35,
"Smith, Russell William",,State,Superior Court Judge,Mountain,2022,Non-Partisan,No,3000,2990,
"Smith, Sheldon",,Ashburn,City Councilperson,0,2022,Other,No,,,
"Smith, Suzanne Hayes",Committee to Re-Elect Suzanne H. Smith,State,Superior Court Judge,Cherokee Judicial Circuit,2024,Other,Yes,160.74,9.99,
"Smith, Thomas ",,State,State Senator,34,2022,Republican,No,1067.68,1067.68,
"Smith, Tommy J.",,State,Superior Court Judge,Middle Judicial Circuit: Smith,2024,Non-Partisan,No,135826.29,17116.96,
"Smith, Tyler Paul","Tyler Paul Smith for State House, Inc.",State,State Representative,18,2024,Republican,Yes,264528.04,185218.2,
"Smith, Vance C., Jr.",Vance Smith for State House,State,State Representative,138,2024,Republican,Yes,164616.67,172848.82,
"SMYRE, CALVIN ",,State,State Representative,135,2022,Democrat,No,96780,106756,
"Soha, Andy ",Vote Andy Soha,State,State Senator,32,2022,Republican,No,4032,4017.07,
"Solly, Edward Dean",Ed Solly For Georgia,State,State Representative,24,2022,Republican,No,31927,30895.16,
"Sones, Matthew Curtis",,Gwinnett,Board of Education,4,2022,Non-Partisan,No,,,
"Soyomokun, Oladipupo",The Committee to Elect Oladipupo Soyomokun,Gwinnett County,Sheriff,,2024,Republican,No,,,
"Sparks, Larry Lavorn",,Talbot County,County Commissioner,5,2022,Democrat,No,,,
"Spear, Jon ",Spear for Walton Sheriff,Walton County,Sheriff,,2024,Republican,No,,,
"Spivey, Andrew Carl",,State,Superior Court Judge,Waycross Judicial Circuit: Spivey,2024,Other,Yes,32022.34,10200.91,
"Spradlin, Kenneth Nathan",,Orchard Hill,City Councilperson,2,2022,Non-Partisan,No,,,
"Sprayberry, Carl Lewis",Sprayberry for Georgia,State,State Representative,139,2024,Democrat,No,,,
"Sproul, Kevin",Sproul for Sheriff,Dougherty County,Sheriff,,2024,Democrat,No,,,
"squires, charles mitchell",,State,State Representative,49,2024,Democrat,No,100,,
"Stafford, Furquan",Friends of Furquan Stafford,State,State Senator,43,2024,Republican,Yes,2393.03,1767.96,
"Stahl, Benjamin","Friends of Ben Stahl, Inc.",State,State Representative,43,2022,Democrat,Yes,33109.9,29609.9,
"Stancil, Kris",,Pickens County,County Commission Chair,,2024,Republican,No,,,
"Stanley, Richard",,Laurens County,Coroner,,2024,Other,No,,,
"Steed, Sandy",Committee to Elect Sandy Steed,Columbia,Board of Education,2,2022,Non-Partisan,No,,,
Stell Brian "Chase",Chase Stell for Georgia,State,State Senator,36,2022,Democrat,No,28939.22,27619.71,
"Stembridge, Annetta Danley",,Douglas County,Clerk of Superior Court,,2024,Democrat,No,,,
"STEPHENS, DWAYNE ANTONIO, Sr.",Committee To Elect Dwayne Stephens,Newton County,County Commissioner,2,2022,Democrat,No,,,
Stephens James Ronald "Ron",Committee to Re-Elect Ron Stephens,State,State Representative,164,2022,Republican,Yes,267607.84,159290.82,
"Stephens, Jerry Michael",,Wilcox County,County Commissioner,5,2022,Republican,No,,,
